Bulan,Product Name,Customer Name,Jenis Produk,Total Penjualan
1,Raclette Courdavault,Gourmet Lanchonetes,Dairy Products,880
1,Pavlova,Old World Delicatessen,Confections,872.5
1,Steeleye Stout,Mère Paillarde,Beverages,864
1,Sirop d'érable,Victuailles en stock,Condiments,855
1,Raclette Courdavault,Alfreds Futterkiste,Dairy Products,825
1,Northwoods Cranberry Sauce,Island Trading,Condiments,800
1,Escargots de Bourgogne,QUICK-Stop,Seafood,795
1,Gumbär Gummibärchen,Magazzini Alimentari Riuniti,Confections,747
1,Gumbär Gummibärchen,Que Delícia,Confections,747
1,Gustaf's Knäckebröd,Piccolo und mehr,Grains/Cereals,735
1,Boston Crab Meat,Bottom-Dollar Markets,Seafood,735
1,Camembert Pierrot,Island Trading,Dairy Products,714
1,Chocolade,Ernst Handel,Confections,714
1,Perth Pasties,Drachenblut Delikatessen,Meat/Poultry,656
1,Tofu,Piccolo und mehr,Produce,651
1,Chef Anton's Gumbo Mix,Consolidated Holdings,Condiments,640.5
1,Mascarpone Fabioli,Magazzini Alimentari Riuniti,Dairy Products,640
1,Tunnbröd,QUICK-Stop,Grains/Cereals,630
1,Carnarvon Tigers,Blauer See Delikatessen,Seafood,625
1,Gula Malacca,Bottom-Dollar Markets,Condiments,620
1,Uncle Bob's Organic Dried Pears,Ottilies Käseladen,Produce,600
1,Singaporean Hokkien Fried Mee,QUICK-Stop,Grains/Cereals,588
1,Gudbrandsdalsost,Richter Supermarkt,Dairy Products,576
1,Boston Crab Meat,LINO-Delicateses,Seafood,552
1,Côte de Blaye,Rancho grande,Beverages,527
1,Queso Cabrales,Lehmanns Marktstand,Dairy Products,525
1,Mozzarella di Giovanni,Tradição Hipermercados,Dairy Products,522
1,Valkoinen suklaa,Hungry Owl All-Night Grocers,Confections,520
1,Nord-Ost Matjeshering,Tradição Hipermercados,Seafood,517.8
1,Chartreuse verte,Tradição Hipermercados,Beverages,504
1,Queso Cabrales,Ottilies Käseladen,Dairy Products,504
1,Steeleye Stout,Eastern Connection,Beverages,504
1,Ikura,Suprêmes délices,Seafood,496
1,Aniseed Syrup,Königlich Essen,Condiments,490
1,Lakkalikööri,La maison d'Asie,Beverages,489.6
1,Maxilaku,Eastern Connection,Confections,480
1,Maxilaku,Magazzini Alimentari Riuniti,Confections,480
1,Ravioli Angelo,Ernst Handel,Grains/Cereals,468
1,Ikura,Bon app',Seafood,465
1,Chef Anton's Cajun Seasoning,Suprêmes délices,Condiments,462
1,Boston Crab Meat,Berglunds snabbköp,Seafood,460
1,Outback Lager,Suprêmes délices,Beverages,450
1,Outback Lager,Victuailles en stock,Beverages,450
1,Steeleye Stout,QUICK-Stop,Beverages,450
1,Singaporean Hokkien Fried Mee,Magazzini Alimentari Riuniti,Grains/Cereals,448
1,Schoggi Schokolade,La corne d'abondance,Confections,439
1,Gorgonzola Telino,Blondesddsl père et fils,Dairy Products,437.5
1,Gudbrandsdalsost,Ottilies Käseladen,Dairy Products,432
1,Tunnbröd,Ernst Handel,Grains/Cereals,432
1,Queso Cabrales,LILA-Supermercado,Dairy Products,420
1,Spegesild,Ricardo Adocicados,Seafood,420
1,Zaanse koeken,QUICK-Stop,Confections,418
1,Ipoh Coffee,Santé Gourmet,Beverages,414
1,Sir Rodney's Marmalade,Rancho grande,Confections,405
1,Sir Rodney's Scones,Ernst Handel,Confections,400
1,Sir Rodney's Scones,White Clover Markets,Confections,400
1,Aniseed Syrup,LINO-Delicateses,Condiments,400
1,Escargots de Bourgogne,Tradição Hipermercados,Seafood,397.5
1,Perth Pasties,Que Delícia,Meat/Poultry,393
1,Konbu,Ernst Handel,Seafood,390
1,Chang,Antonio Moreno Taquería,Beverages,380
1,Zaanse koeken,Berglunds snabbköp,Confections,380
1,Chartreuse verte,Bon app',Beverages,378
1,Lakkalikööri,Berglunds snabbköp,Beverages,378
1,Gumbär Gummibärchen,Drachenblut Delikatessen,Confections,374.76
1,Nord-Ost Matjeshering,Rattlesnake Canyon Grocery,Seafood,372.6
1,Tofu,Wartian Herkku,Produce,372
1,Sirop d'érable,QUICK-Stop,Condiments,364.8
1,Original Frankfurter grüne Soße,Simons bistro,Condiments,364
1,Lakkalikööri,France restauration,Beverages,360
1,Steeleye Stout,Split Rail Beer & Ale,Beverages,360
1,Scottish Longbreads,Simons bistro,Confections,360
1,Chai,La maison d'Asie,Beverages,345.6
1,Rogede sild,Save-a-lot Markets,Seafood,342
1,Louisiana Fiery Hot Pepper Sauce,Rattlesnake Canyon Grocery,Condiments,336
1,Chang,Ricardo Adocicados,Beverages,323
1,Ipoh Coffee,Cactus Comidas para llevar,Beverages,322
1,Manjimup Dried Apples,Split Rail Beer & Ale,Produce,318
1,Louisiana Fiery Hot Pepper Sauce,Old World Delicatessen,Condiments,315.75
1,Queso Cabrales,Tortuga Restaurante,Dairy Products,315
1,Ravioli Angelo,Wartian Herkku,Grains/Cereals,312
1,Gula Malacca,La maison d'Asie,Condiments,311.2
1,Aniseed Syrup,Berglunds snabbköp,Condiments,300
1,Scottish Longbreads,Mère Paillarde,Confections,300
1,Scottish Longbreads,Tradição Hipermercados,Confections,300
1,Perth Pasties,Ottilies Käseladen,Meat/Poultry,295.2
1,Ravioli Angelo,LILA-Supermercado,Grains/Cereals,292.5
1,Ravioli Angelo,Blondesddsl père et fils,Grains/Cereals,292.5
1,Pavlova,Ernst Handel,Confections,291.9
1,Mishi Kobe Niku,Consolidated Holdings,Meat/Poultry,291
1,Chang,Rattlesnake Canyon Grocery,Beverages,285
1,NuNuCa Nuß-Nougat-Creme,Victuailles en stock,Confections,280
1,Singaporean Hokkien Fried Mee,Antonio Moreno Taquería,Grains/Cereals,280
1,Perth Pasties,Wartian Herkku,Meat/Poultry,262
1,Tourtière,Frankenversand,Meat/Poultry,260.75
1,Original Frankfurter grüne Soße,Reggiani Caseifici,Condiments,260
1,Flotemysost,Ottilies Käseladen,Dairy Products,258
1,Scottish Longbreads,Tortuga Restaurante,Confections,250
1,Gumbär Gummibärchen,Split Rail Beer & Ale,Confections,249
1,Röd Kaviar,Wellington Importadora,Seafood,240
1,Sir Rodney's Scones,Queen Cozinha,Confections,240
1,Tourtière,Split Rail Beer & Ale,Meat/Poultry,236
1,Alice Mutton,Rattlesnake Canyon Grocery,Meat/Poultry,234
1,Ipoh Coffee,Tortuga Restaurante,Beverages,230
1,Zaanse koeken,Bottom-Dollar Markets,Confections,228
1,Tofu,Océano Atlántico Ltda.,Produce,223.2
1,Manjimup Dried Apples,Victuailles en stock,Produce,212
1,Gravad lax,Folies gourmandes,Seafood,208
1,Longlife Tofu,Suprêmes délices,Produce,200
1,Gorgonzola Telino,Reggiani Caseifici,Dairy Products,200
1,Original Frankfurter grüne Soße,LILA-Supermercado,Condiments,195
1,Original Frankfurter grüne Soße,Suprêmes délices,Condiments,195
1,Ravioli Angelo,Ricardo Adocicados,Grains/Cereals,195
1,Jack's New England Clam Chowder,Magazzini Alimentari Riuniti,Seafood,193
1,Jack's New England Clam Chowder,Victuailles en stock,Seafood,193
1,Jack's New England Clam Chowder,Bottom-Dollar Markets,Seafood,192.5
1,Pâté chinois,La maison d'Asie,Meat/Poultry,192
1,Spegesild,Reggiani Caseifici,Seafood,192
1,Chang,Island Trading,Beverages,190
1,Wimmers gute Semmelknödel,Galería del gastrónomo,Grains/Cereals,186.2
1,Outback Lager,Tortuga Restaurante,Beverages,180
1,Chartreuse verte,LINO-Delicateses,Beverages,180
1,Guaraná Fantástica,Frankenversand,Beverages,180
1,Gorgonzola Telino,Old World Delicatessen,Dairy Products,175
1,Tunnbröd,LINO-Delicateses,Grains/Cereals,162
1,Manjimup Dried Apples,France restauration,Produce,159
1,Rhönbräu Klosterbier,Cactus Comidas para llevar,Beverages,155
1,Gnocchi di nonna Alice,Galería del gastrónomo,Grains/Cereals,152
1,Grandma's Boysenberry Spread,Tradição Hipermercados,Condiments,150
1,Uncle Bob's Organic Dried Pears,La corne d'abondance,Produce,150
1,Tarte au sucre,Trail's Head Gourmet Provisioners,Confections,147.9
1,Tarte au sucre,White Clover Markets,Confections,147.9
1,Teatime Chocolate Biscuits,Wartian Herkku,Confections,146
1,Steeleye Stout,Santé Gourmet,Beverages,144
1,Chai,Queen Cozinha,Beverages,144
1,Gorgonzola Telino,Gourmet Lanchonetes,Dairy Products,140
1,Filo Mix,Wellington Importadora,Grains/Cereals,140
1,NuNuCa Nuß-Nougat-Creme,Ricardo Adocicados,Confections,140
1,NuNuCa Nuß-Nougat-Creme,La maison d'Asie,Confections,140
1,Teatime Chocolate Biscuits,LINO-Delicateses,Confections,138
1,Outback Lager,Folk och fä HB,Beverages,135
1,Teatime Chocolate Biscuits,Familia Arquibaldo,Confections,131.4
1,Longlife Tofu,QUICK-Stop,Produce,120
1,Jack's New England Clam Chowder,Folk och fä HB,Seafood,115.8
1,Gorgonzola Telino,Ottilies Käseladen,Dairy Products,112.5
1,Teatime Chocolate Biscuits,Save-a-lot Markets,Confections,110.4
1,Steeleye Stout,Ernst Handel,Beverages,108
1,Original Frankfurter grüne Soße,Que Delícia,Condiments,104
1,Chocolade,Victuailles en stock,Confections,102
1,Geitost,Familia Arquibaldo,Dairy Products,100
1,Wimmers gute Semmelknödel,La maison d'Asie,Grains/Cereals,99.75
1,Geitost,Bottom-Dollar Markets,Dairy Products,98
1,Sir Rodney's Scones,Océano Atlántico Ltda.,Confections,96
1,Outback Lager,Wellington Importadora,Beverages,96
1,Outback Lager,Trail's Head Gourmet Provisioners,Beverages,90
1,Geitost,White Clover Markets,Dairy Products,87.5
1,NuNuCa Nuß-Nougat-Creme,LINO-Delicateses,Confections,84
1,Inlagd Sill,Queen Cozinha,Seafood,76
1,Outback Lager,Laughing Bacchus Wine Cellars,Beverages,75
1,Chai,LINO-Delicateses,Beverages,72
1,NuNuCa Nuß-Nougat-Creme,Laughing Bacchus Wine Cellars,Confections,70
1,Alice Mutton,Hungry Coyote Import Store,Meat/Poultry,62.4
1,Outback Lager,La corne d'abondance,Beverages,60
1,Konbu,Island Trading,Seafood,60
1,Filo Mix,Lehmanns Marktstand,Grains/Cereals,56
1,Gumbär Gummibärchen,Franchi S.p.A.,Confections,49.8
1,Konbu,Laughing Bacchus Wine Cellars,Seafood,42
1,Geitost,Hungry Coyote Import Store,Dairy Products,40
1,Geitost,Save-a-lot Markets,Dairy Products,40
1,Konbu,Berglunds snabbköp,Seafood,36
1,Tourtière,Folies gourmandes,Meat/Poultry,35.4
1,Boston Crab Meat,Queen Cozinha,Seafood,29.4
1,Teatime Chocolate Biscuits,Que Delícia,Confections,29.2
1,Original Frankfurter grüne Soße,Alfreds Futterkiste,Condiments,26
1,Spegesild,Simons bistro,Seafood,19.2
1,Teatime Chocolate Biscuits,Santé Gourmet,Confections,18.4
1,Konbu,La maison d'Asie,Seafood,18
1,Geitost,Victuailles en stock,Dairy Products,10
1,Konbu,Wellington Importadora,Seafood,9.6
2,Thüringer Rostbratwurst,Hungry Owl All-Night Grocers,Meat/Poultry,17330.6
2,Côte de Blaye,QUICK-Stop,Beverages,15810
2,Côte de Blaye,Rattlesnake Canyon Grocery,Beverages,10540
2,Camembert Pierrot,Ernst Handel,Dairy Products,3400
2,Thüringer Rostbratwurst,Königlich Essen,Meat/Poultry,2970.96
2,Thüringer Rostbratwurst,Save-a-lot Markets,Meat/Poultry,2376
2,Pâté chinois,QUICK-Stop,Meat/Poultry,2304
2,Raclette Courdavault,Maison Dewey,Dairy Products,2200
2,Ikura,Hanari Carnes,Seafood,2170
2,Sirop d'érable,Save-a-lot Markets,Condiments,2052
2,Gudbrandsdalsost,Save-a-lot Markets,Dairy Products,1800
2,Schoggi Schokolade,Old World Delicatessen,Confections,1755
2,Tarte au sucre,White Clover Markets,Confections,1725.5
2,Perth Pasties,Wartian Herkku,Meat/Poultry,1703
2,Boston Crab Meat,Ernst Handel,Seafood,1674.4
2,Sir Rodney's Marmalade,QUICK-Stop,Confections,1620
2,Raclette Courdavault,Königlich Essen,Dairy Products,1584
2,Carnarvon Tigers,Ricardo Adocicados,Seafood,1562.5
2,Gula Malacca,Save-a-lot Markets,Condiments,1550
2,Chartreuse verte,QUICK-Stop,Beverages,1440
2,Tarte au sucre,Blondesddsl père et fils,Confections,1379
2,Grandma's Boysenberry Spread,Bon app',Condiments,1250
2,Gnocchi di nonna Alice,Blondesddsl père et fils,Grains/Cereals,1216
2,Northwoods Cranberry Sauce,Königlich Essen,Condiments,1200
2,Pâté chinois,LILA-Supermercado,Meat/Poultry,1152
2,Mozzarella di Giovanni,Victuailles en stock,Dairy Products,1112
2,Rössle Sauerkraut,Suprêmes délices,Produce,1092
2,Nord-Ost Matjeshering,Berglunds snabbköp,Seafood,1035.6
2,Tarte au sucre,Godos Cocina Típica,Confections,986
2,Nord-Ost Matjeshering,Hungry Owl All-Night Grocers,Seafood,932.04
2,Wimmers gute Semmelknödel,QUICK-Stop,Grains/Cereals,931
2,Rhönbräu Klosterbier,Save-a-lot Markets,Beverages,930
2,Nord-Ost Matjeshering,Königlich Essen,Seafood,906.15
2,Flotemysost,Suprêmes délices,Dairy Products,860
2,Sirop d'érable,Folk och fä HB,Condiments,855
2,Gnocchi di nonna Alice,Princesa Isabel Vinhos,Grains/Cereals,851.2
2,Maxilaku,Queen Cozinha,Confections,840
2,Queso Cabrales,Hungry Owl All-Night Grocers,Dairy Products,840
2,Queso Cabrales,Rattlesnake Canyon Grocery,Dairy Products,840
2,Louisiana Hot Spiced Okra,Ernst Handel,Condiments,816
2,Chartreuse verte,Ernst Handel,Beverages,810
2,Gnocchi di nonna Alice,Let's Stop N Shop,Grains/Cereals,798
2,Wimmers gute Semmelknödel,Blondesddsl père et fils,Grains/Cereals,798
2,Outback Lager,Folk och fä HB,Beverages,750
2,Gumbär Gummibärchen,Suprêmes délices,Confections,747
2,Ipoh Coffee,Suprêmes délices,Beverages,736
2,Pâté chinois,Folk och fä HB,Meat/Poultry,720
2,Chai,Seven Seas Imports,Beverages,720
2,Chang,Save-a-lot Markets,Beverages,684
2,Pavlova,Save-a-lot Markets,Confections,681.1
2,Wimmers gute Semmelknödel,Bon app',Grains/Cereals,665
2,Chef Anton's Cajun Seasoning,Queen Cozinha,Condiments,660
2,Flotemysost,HILARION-Abastos,Dairy Products,645
2,Gumbär Gummibärchen,Queen Cozinha,Confections,624.6
2,Alice Mutton,Bon app',Meat/Poultry,624
2,Gnocchi di nonna Alice,Maison Dewey,Grains/Cereals,608
2,Uncle Bob's Organic Dried Pears,Reggiani Caseifici,Produce,600
2,Louisiana Fiery Hot Pepper Sauce,Ricardo Adocicados,Condiments,588
2,Alice Mutton,Du monde entier,Meat/Poultry,585
2,Nord-Ost Matjeshering,LILA-Supermercado,Seafood,579.6
2,Original Frankfurter grüne Soße,QUICK-Stop,Condiments,572
2,Sirop d'érable,Wartian Herkku,Condiments,570
2,Rössle Sauerkraut,Save-a-lot Markets,Produce,546
2,Steeleye Stout,Queen Cozinha,Beverages,540
2,Flotemysost,Queen Cozinha,Dairy Products,537.5
2,Pavlova,Ricardo Adocicados,Confections,523.5
2,Original Frankfurter grüne Soße,Hanari Carnes,Condiments,520
2,Flotemysost,Wartian Herkku,Dairy Products,516
2,Queso Cabrales,Ernst Handel,Dairy Products,504
2,Wimmers gute Semmelknödel,Godos Cocina Típica,Grains/Cereals,498.75
2,Ikura,Victuailles en stock,Seafood,496
2,Guaraná Fantástica,Ernst Handel,Beverages,495
2,Tourtière,Ernst Handel,Meat/Poultry,472
2,Louisiana Fiery Hot Pepper Sauce,QUICK-Stop,Condiments,470.4
2,Alice Mutton,Godos Cocina Típica,Meat/Poultry,468
2,Gnocchi di nonna Alice,Suprêmes délices,Grains/Cereals,456
2,Queso Manchego La Pastora,Mère Paillarde,Dairy Products,456
2,Tunnbröd,Seven Seas Imports,Grains/Cereals,450
2,Outback Lager,Suprêmes délices,Beverages,450
2,Louisiana Fiery Hot Pepper Sauce,Godos Cocina Típica,Condiments,442.05
2,Louisiana Fiery Hot Pepper Sauce,Hanari Carnes,Condiments,442.05
2,Gorgonzola Telino,Hanari Carnes,Dairy Products,437.5
2,Rössle Sauerkraut,Reggiani Caseifici,Produce,436.8
2,Sirop d'érable,Wolski  Zajazd,Condiments,427.5
2,Sir Rodney's Scones,Let's Stop N Shop,Confections,400
2,Maxilaku,Save-a-lot Markets,Confections,400
2,Chang,Berglunds snabbköp,Beverages,399
2,Alice Mutton,Tortuga Restaurante,Meat/Poultry,390
2,Ravioli Angelo,Rancho grande,Grains/Cereals,390
2,Nord-Ost Matjeshering,Lehmanns Marktstand,Seafood,388.35
2,Uncle Bob's Organic Dried Pears,Victuailles en stock,Produce,384
2,Inlagd Sill,Königlich Essen,Seafood,380
2,Chang,Suprêmes délices,Beverages,380
2,Chang,Godos Cocina Típica,Beverages,380
2,Gumbär Gummibärchen,Berglunds snabbköp,Confections,373.5
2,Uncle Bob's Organic Dried Pears,Santé Gourmet,Produce,360
2,Chai,HILARION-Abastos,Beverages,360
2,Chai,Wellington Importadora,Beverages,360
2,Singaporean Hokkien Fried Mee,Save-a-lot Markets,Grains/Cereals,350
2,Ikura,Blondesddsl père et fils,Seafood,347.2
2,Maxilaku,Königlich Essen,Confections,336
2,Original Frankfurter grüne Soße,Suprêmes délices,Condiments,325
2,Sir Rodney's Scones,LILA-Supermercado,Confections,320
2,Sir Rodney's Scones,Königlich Essen,Confections,320
2,Alice Mutton,Berglunds snabbköp,Meat/Poultry,312
2,Ikura,Godos Cocina Típica,Seafood,310
2,Outback Lager,Around the Horn,Beverages,300
2,Maxilaku,Berglunds snabbköp,Confections,300
2,Tarte au sucre,Folk och fä HB,Confections,295.8
2,Boston Crab Meat,Rancho grande,Seafood,294
2,Teatime Chocolate Biscuits,Ricardo Adocicados,Confections,292
2,Jack's New England Clam Chowder,HILARION-Abastos,Seafood,289.5
2,Chartreuse verte,Wartian Herkku,Beverages,288
2,Mozzarella di Giovanni,Consolidated Holdings,Dairy Products,278
2,Pavlova,La maison d'Asie,Confections,278
2,Tunnbröd,Folk och fä HB,Grains/Cereals,270
2,Pavlova,Santé Gourmet,Confections,261.75
2,Lakkalikööri,Folk och fä HB,Beverages,259.2
2,Louisiana Fiery Hot Pepper Sauce,Let's Stop N Shop,Condiments,252.6
2,Spegesild,Bon app',Seafood,252
2,Scottish Longbreads,Hanari Carnes,Confections,250
2,Scottish Longbreads,Seven Seas Imports,Confections,250
2,Konbu,Hanari Carnes,Seafood,240
2,Longlife Tofu,Mère Paillarde,Produce,240
2,Pâté chinois,Godos Cocina Típica,Meat/Poultry,240
2,Tourtière,Save-a-lot Markets,Meat/Poultry,238.4
2,Ravioli Angelo,Toms Spezialitäten,Grains/Cereals,234
2,Jack's New England Clam Chowder,Berglunds snabbköp,Seafood,231
2,Teatime Chocolate Biscuits,Berglunds snabbköp,Confections,230
2,Scottish Longbreads,Godos Cocina Típica,Confections,225
2,Sasquatch Ale,Toms Spezialitäten,Beverages,224
2,Pavlova,Mère Paillarde,Confections,222.4
2,Boston Crab Meat,Wilman Kala,Seafood,220.8
2,Louisiana Fiery Hot Pepper Sauce,Wilman Kala,Condiments,210.5
2,Laughing Lumberjack Lager,Around the Horn,Beverages,210
2,Laughing Lumberjack Lager,Godos Cocina Típica,Beverages,210
2,Scottish Longbreads,Folk och fä HB,Confections,210
2,Queso Cabrales,Seven Seas Imports,Dairy Products,210
2,Pavlova,Bon app',Confections,209.4
2,Gustaf's Knäckebröd,Consolidated Holdings,Grains/Cereals,201.6
2,Maxilaku,Wilman Kala,Confections,200
2,Sir Rodney's Scones,Wilman Kala,Confections,200
2,Zaanse koeken,Berglunds snabbköp,Confections,199.5
2,Escargots de Bourgogne,Queen Cozinha,Seafood,198.75
2,Escargots de Bourgogne,White Clover Markets,Seafood,198.75
2,Teatime Chocolate Biscuits,Toms Spezialitäten,Confections,197.1
2,Spegesild,Victuailles en stock,Seafood,192
2,Mascarpone Fabioli,Rancho grande,Dairy Products,192
2,Lakkalikööri,Wilman Kala,Beverages,180
2,Chai,Godos Cocina Típica,Beverages,180
2,Konbu,Save-a-lot Markets,Seafood,168
2,Wimmers gute Semmelknödel,Mère Paillarde,Grains/Cereals,159.6
2,Escargots de Bourgogne,HILARION-Abastos,Seafood,159
2,Chocolade,Around the Horn,Confections,153
2,Chang,Consolidated Holdings,Beverages,152
2,Röd Kaviar,Cactus Comidas para llevar,Seafood,150
2,Gumbär Gummibärchen,Rancho grande,Confections,149.4
2,Rhönbräu Klosterbier,Blondesddsl père et fils,Beverages,148.8
2,Chartreuse verte,LILA-Supermercado,Beverages,144
2,Rogede sild,Maison Dewey,Seafood,142.5
2,Sirop d'érable,Wilman Kala,Condiments,142.5
2,Sasquatch Ale,Du monde entier,Beverages,140
2,Rössle Sauerkraut,Wilman Kala,Produce,136.8
2,Jack's New England Clam Chowder,Du monde entier,Seafood,135.1
2,Steeleye Stout,Berglunds snabbköp,Beverages,115.2
2,Filo Mix,Blondesddsl père et fils,Grains/Cereals,112
2,Teatime Chocolate Biscuits,Wilman Kala,Confections,110.4
2,Rhönbräu Klosterbier,Spécialités du monde,Beverages,108.5
2,Manjimup Dried Apples,Wolski  Zajazd,Produce,106
2,Pavlova,Rancho grande,Confections,104.7
2,Queso Cabrales,Folk och fä HB,Dairy Products,100.8
2,Queso Cabrales,Reggiani Caseifici,Dairy Products,100.8
2,Geitost,Queen Cozinha,Dairy Products,100
2,Perth Pasties,Lonesome Pine Restaurant,Meat/Poultry,98.4
2,Filo Mix,Reggiani Caseifici,Grains/Cereals,98
2,Spegesild,La maison d'Asie,Seafood,96
2,Tourtière,Berglunds snabbköp,Meat/Poultry,88.5
2,Chartreuse verte,Berglunds snabbköp,Beverages,86.4
2,Filo Mix,Toms Spezialitäten,Grains/Cereals,84
2,Geitost,Tortuga Restaurante,Dairy Products,75
2,Tourtière,Tortuga Restaurante,Meat/Poultry,74.5
2,Steeleye Stout,Around the Horn,Beverages,72
2,Guaraná Fantástica,Toms Spezialitäten,Beverages,72
2,NuNuCa Nuß-Nougat-Creme,Galería del gastrónomo,Confections,70
2,Guaraná Fantástica,Suprêmes délices,Beverages,54
2,Steeleye Stout,Wolski  Zajazd,Beverages,54
2,Jack's New England Clam Chowder,Santé Gourmet,Seafood,48.25
2,Spegesild,Blondesddsl père et fils,Seafood,48
2,Outback Lager,Wellington Importadora,Beverages,45
2,Guaraná Fantástica,Königlich Essen,Beverages,45
2,Geitost,La maison d'Asie,Dairy Products,40
2,Guaraná Fantástica,Lonesome Pine Restaurant,Beverages,36
2,Tourtière,Victuailles en stock,Meat/Poultry,35.4
2,Flotemysost,Ricardo Adocicados,Dairy Products,34.4
2,Gorgonzola Telino,Toms Spezialitäten,Dairy Products,30
2,Konbu,Océano Atlántico Ltda.,Seafood,30
2,Guaraná Fantástica,Berglunds snabbköp,Beverages,27
2,Rhönbräu Klosterbier,Folk och fä HB,Beverages,24.8
3,Côte de Blaye,Hanari Carnes,Beverages,15810
3,Côte de Blaye,Rattlesnake Canyon Grocery,Beverages,6324
3,Sir Rodney's Marmalade,Around the Horn,Confections,4050
3,Tarte au sucre,Bottom-Dollar Markets,Confections,2958
3,Raclette Courdavault,HILARION-Abastos,Dairy Products,2640
3,Raclette Courdavault,Rattlesnake Canyon Grocery,Dairy Products,2640
3,Manjimup Dried Apples,Godos Cocina Típica,Produce,2120
3,Tarte au sucre,Rattlesnake Canyon Grocery,Confections,1972
3,Queso Manchego La Pastora,Ernst Handel,Dairy Products,1900
3,Uncle Bob's Organic Dried Pears,Eastern Connection,Produce,1800
3,Uncle Bob's Organic Dried Pears,Rattlesnake Canyon Grocery,Produce,1800
3,Thüringer Rostbratwurst,Vaffeljernet,Meat/Poultry,1782
3,Vegie-spread,Vaffeljernet,Condiments,1756
3,Mozzarella di Giovanni,Save-a-lot Markets,Dairy Products,1740
3,Thüringer Rostbratwurst,France restauration,Meat/Poultry,1733.06
3,Camembert Pierrot,QUICK-Stop,Dairy Products,1666
3,Vegie-spread,Ernst Handel,Condiments,1536.5
3,Carnarvon Tigers,Bon app',Seafood,1500
3,Tarte au sucre,Save-a-lot Markets,Confections,1479
3,Rössle Sauerkraut,Berglunds snabbköp,Produce,1368
3,Uncle Bob's Organic Dried Pears,QUICK-Stop,Produce,1350
3,Raclette Courdavault,Frankenversand,Dairy Products,1320
3,Côte de Blaye,Spécialités du monde,Beverages,1317.5
